id,name,technical_name,addendum_id:id
addendum_field_hemsa_cdAlmacen,Ciudad de almacen de entrega,cdAlmacen,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_codAlmacen,Codigo de almacen de entrega,codAlmacen,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_codigoComprador,Codigo de comprador,codigoComprador,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_vendor,Codigo de proveedor,vendor,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_direccionAlmacen,Direccion de almacen de entrega,direccionAlmacen,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_division,Division,division,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_fechaCompra,Fecha de orden de compra,fechaCompra,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_GLNEntregaAlmacen,GLN de almacen de entrega,GLNEntregaAlmacen,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_GLNComprador,GLN del comprador,GLNComprador,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_GLNProveedor,GLN del proveedor,GLNProveedor,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_instruccionEspecial,Instrucciones especiales,instruccionEspecial,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_nombreAlmacen,Nombre de almacen de entrega,nombreAlmacen,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_presupuesto,Numero de presupuesto,presupuesto,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_ordenCompra,Orden de compra,ordenCompra,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_sustituye,Sustituye,sustituye,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_tipoDocumento,Tipo de documento,tipoDocumento,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_gasto,Tipo de gasto,gasto,l10n_mx_addendum.addendum_cityfresko
addendum_field_hemsa_tipo,Tipo de proveedor,tipo,l10n_mx_addendum.addendum_cityfresko
